np;dest;cls;key
1;1;3;\bcrm\b
1;1;3;автоматизация
1;0;3;веб-аналитика
1;0;3;данные
1;1;3; мультимедийные
1;0;4;провести тестирование производительности
1;0;4;оптимизировать интерфейс
1;0;4;\bвеб\b
1;1;4;провести тестирование безопасности
1;0;5;аналитическое сопровождение
1;0;5;мониторинг сми
1;0;5;агрегатор
1;0;5;веб-аналитика
1;0;5;работать с системой контроля версий
1;1;5;обработка данных
1;1;5;базы данных
1;1;5;электронная база данных
1;1;5;искусственный интеллект
1;1;5;\bии\b
1;1;5;естественная речь
1;1;5;естественный язык
1;1;5;машинное обучение
1;1;5;\bml\b
1;1;5;\bai\b
1;1;5;биг-дата
1;1;5;бигдата
1;1;5;bigdata
1;1;5;компьютерное зрение
1;1;5;devops
1;0;5;данные
1;1;5;создать базу данных
1;1;5;оптимизировать запросы к базам данных
1;1;5;интегрировать системы аналитики и мониторинга
1;1;5;развернуть приложение на сервере
1;1;5;создать дашборды для визуализации данных
1;1;5;разработать алгоритмы анализа данных
1;1;6;\bбпла\b
0;0;0;континент
0;0;0;техническ\w\w поддержк
0;0;0;абонемент
0;0;0;доработк
0;0;0;защит\w? информаци
0;0;0;консультаци
0;0;0;консультационны\w? услуг
0;0;0;образование
0;0;0;образовательны\w услуг
0;0;0;глонасс
0;0;0;\bgps\b
0;0;0;бюджет
0;0;0;антивирус
0;0;0;контур
0;0;0;(?:\bмис\b|медицинская информационная система)
0;0;0;мис ариадна
0;0;0;техэксперт
0;0;0;бд супа
0;0;0;технокад
0;0;0;omnicommonline
0;0;0;карант
0;0;0;парус
0;0;0;континент
0;0;0;оборудование
0;0;0;лицензи
0;0;0;неисключительны\w? прав
0;0;0;аттестация
0;0;0;контур-фокус
0;0;0;сертификат
0;0;0;брест
0;0;0;vipnet
0;0;0;барс-здравоохранение
0;0;0;бит.управление медицинскими сервисами
0;0;0;autosat
0;0;0;varonis
0;0;0;гранд-смета
0;0;0;спарк
0;0;0;кодекс
0;0;0;иас контрагент
0;0;0;катарсис
0;0;0;статус-поставщик
0;0;0;\brosa\b
0;0;0;labforce
0;0;0;enterprize
0;0;0;vizualization
0;0;0;businessstudio
0;0;0;прав\w? использовани
0;0;0;консультантплюс
0;0;0;предоставлени. в аренд
0;0;0;услуг\w? по сопровожден
0;0;0;услуг\w? по содержани
0;0;0;Услуг\w? по передач
0;0;0;услуг\w? по подписк
0;0;0;услуг\w? по поставк
0;0;0;продлени
0;0;0;техническо\w{1,2} сопровождени
0;0;0;принтер
0;0;0;сервисно\w{1,2} обслуживан
0;0;0;техническо\w{1,2} обслуживани
0;0;0;поддержани. работоспособност
0;0;0;услуг\w? по настройк
0;0;0;услуг\w? связи
0;0;0;аслуг\w? по адаптац
0;0;0;абонентско\w{1,2} обслуживани
0;0;0;поставк. программного обеспечени
0;0;0;usergate
0;0;0;информационн\w{2,3} поддержк
0;0;0;работ\w? по установк
0;0;0;работ\w? по монтаж
0;0;0;техническо\w{1,2} освидетельствован
0;0;0;услуг\w? по обслуживан
0;0;0;техническ\w{1,2} поддержк
0;0;0;проектно-сметн
0;0;0;развити. подсистем
0;0;0;содержани. комплекс
0;0;0;\b1с:\b
0;0;0;\b1c:\b
0;0;0;информационн\w{2,3} сопровожден
0;0;0;работ\w? по обслуживан
0;0;0;работ\w? по модернизац
0;0;0;работ\w? по модификац
0;0;0;работ\w? по развит
0;0;0;криптопро
0;0;0;консультант плюс
0;0;0;монтаж\w? систем
0;0;0;диспетчеризац
0;0;0;аверс
0;0;0;обновлен
0;0;0;обслуживани. оборудован
0;0;0;информационн\w{2,3} услуг
0;0;0;сопровождени. программ
0;0;0;услуг\w? доступ
0;0;0;услуг\w? мониторинг
0;0;0;услуг\w? на предоставлен
0;0;0;услуг\w? по абонентск
0;0;0;услуг\w? по адапт
0;0;0;услуг\w? по активац
0;0;0;услуг\w? по администриров
0;0;0;услуг\w? по активац
0;0;0;услуг\w? по актуализ
0;0;0;услуг\w? по анализ
0;0;0;услуг\w? по аттестац
0;0;0;услуг\w? по внедрен
0;0;0;опровождени. программ
0;0;0;услуг\w? по установк
0;0;0;услуг\w? по опубликован
0;0;0;услуг\w? по эксплуатац
0;0;0;услуг\w? по поддержк
0;0;0;услуг\w? по сопровожден
0;0;0;услуг\w? по рассылк
0;0;0;услуг\w? по предоставлен
0;0;0;услуг\w? по модернизац
0;0;0;адаптаци. систем
0;0;0;работ\w? по настройк
0;0;0;работ\w? по восстановлен
0;0;0;модернизаци. программ
0;0;0;модификаци. программ
0;0;0;обслуживани. программ
0;0;0;прав\w? заключен
0;0;0;услуг\w? по консультирован
0;0;0;услуг\w? по расширен
0;0;0;поставк. программ
0;0;0;услуг\w? по размещен
0;0;0;проведени. аттестац
0;0;0;приобретени. программ
0;0;0;услуг\w? по развит
0;0;0;услуг\w? по интеграц
0;0;0;услуг\w? по обеспечен
0;0;0;услуг\w? консульт
0;0;0;услуг по подключен
0;0;0;развити. программ
0;0;0;сервисному сопровожд
0;0;0;услуг по перенос
0;0;0;услуг по обеспечен
0;0;0;поставк. оборудован
